,Comments
0, Messi during a training session with Barça in August 2006
1, Messi in the Champions League final against Manchester United in May 2009
2, Messi celebrates his second goal against Granada in September 2014.
3, Messi vying with Sevilla's Éver Banega in the 2015 UEFA Super Cup
4," Messi with Barcelona in Doha, Qatar prior to a friendly game with Al Ahli SC, December 2016"
5, Messi evades Brazil's Marcelo in the semi-final of the 2008 Summer Olympics.
6, Messi scored his first international hat-trick against Switzerland in February 2012.
7, Messi battles Germany's Mats Hummels for the ball during the final of the 2014 FIFA World Cup.
8, Messi celebrating scoring a hat-trick against Ecuador on 10 October 2017. His goals sent Argentina through to the 2018 FIFA World Cup in Russia.
9, Messi celebrating a goal against Nigeria at the 2018 FIFA World Cup
10," After blessing himself, Messi often celebrates a goal by pointing a finger on each hand towards the sky in dedication to his late grandmother.[410] It was she who encouraged a young Messi to play, and also took him to games.[410]"
11, Argentina fans with Messi and Maradona banners at the 2018 World Cup in Russia
12, Messi has been compared to Cristiano Ronaldo (left) throughout much of their careers.
13, Fans of Messi in India decorated this vehicle
14," Messi accepting the Golden Ball award, alongside his future teammate Neymar after the 2011 FIFA Club World Cup Final"
